,results_id,experiment_id,group_id,sample_id,analysis_name,analysis_id,original_assay_type,original_assay_type_id,datatype,datatype_id,file_access,file_type,replications,comments,result_id
109357,,,,,,,RNA SEQ,,,,,,,,EXP33242
109358,,,,,,,RNA SEQ,,,,,,,,EXP33242
109359,,,,,,,RNA SEQ,,,,,,,,EXP33242
109360,,,,,,,RNA SEQ,,,,,,,,EXP33242
109361,,,,,,,RNA SEQ,,,,,,,,EXP33242
109362,,,,,,,RNA SEQ,,,,,,,,EXP33242
109363,,,,,,,RNA SEQ,,,,,,,,EXP33242
109364,,,,,,,RNA SEQ,,,,,,,,EXP33242
109365,,,,,,,RNA SEQ,,,,,,,,EXP33242
109366,,,,,,,RNA SEQ,,,,,,,,EXP33242
109367,,,,,,,RNA SEQ,,,,,,,,EXP33242
109368,,,,,,,RNA SEQ,,,,,,,,EXP33242
109369,,,,,,,RNA SEQ,,,,,,,,EXP33242
109370,,,,,,,RNA SEQ,,,,,,,,EXP33242
109371,,,,,,,RNA SEQ,,,,,,,,EXP33242
109372,,,,,,,RNA SEQ,,,,,,,,EXP33242
109373,,,,,,,RNA SEQ,,,,,,,,EXP33242
109374,,,,,,,RNA SEQ,,,,,,,,EXP33242
109375,,,,,,,RNA SEQ,,,,,,,,EXP33242
109376,,,,,,,RNA SEQ,,,,,,,,EXP33242
109377,,,,,,,RNA SEQ,,,,,,,,EXP33242
109378,,,,,,,RNA SEQ,,,,,,,,EXP33242
109379,,,,,,,RNA SEQ,,,,,,,,EXP33242
109380,,,,,,,RNA SEQ,,,,,,,,EXP33242
109381,,,,,,,RNA SEQ,,,,,,,,EXP33242
109382,,,,,,,RNA SEQ,,,,,,,,EXP33242
109383,,,,,,,RNA SEQ,,,,,,,,EXP33242
109384,,,,,,,RNA SEQ,,,,,,,,EXP33242
109385,,,,,,,RNA SEQ,,,,,,,,EXP33242
109386,,,,,,,RNA SEQ,,,,,,,,EXP33242
109387,,,,,,,RNA SEQ,,,,,,,,EXP33242
109388,,,,,,,RNA SEQ,,,,,,,,EXP33242
109389,,,,,,,RNA SEQ,,,,,,,,EXP33242
109390,,,,,,,RNA SEQ,,,,,,,,EXP33242
109391,,,,,,,RNA SEQ,,,,,,,,EXP33242
109392,,,,,,,RNA SEQ,,,,,,,,EXP33242
109393,,,,,,,RNA SEQ,,,,,,,,EXP33242
109394,,,,,,,RNA SEQ,,,,,,,,EXP33242
109395,,,,,,,RNA SEQ,,,,,,,,EXP33242
109396,,,,,,,RNA SEQ,,,,,,,,EXP33242
109397,,,,,,,RNA SEQ,,,,,,,,EXP33242
109398,,,,,,,RNA SEQ,,,,,,,,EXP33242
109399,,,,,,,RNA SEQ,,,,,,,,EXP33242
109400,,,,,,,RNA SEQ,,,,,,,,EXP33242
109401,,,,,,,RNA SEQ,,,,,,,,EXP33242
109402,,,,,,,RNA SEQ,,,,,,,,EXP33242
109403,,,,,,,RNA SEQ,,,,,,,,EXP33242
109404,,,,,,,RNA SEQ,,,,,,,,EXP33242
109405,,,,,,,RNA SEQ,,,,,,,,EXP33242
109406,,,,,,,RNA SEQ,,,,,,,,EXP33242
109407,,,,,,,RNA SEQ,,,,,,,,EXP33242
109408,,,,,,,RNA SEQ,,,,,,,,EXP33242
109409,,,,,,,RNA SEQ,,,,,,,,EXP33242
109410,,,,,,,RNA SEQ,,,,,,,,EXP33242
109411,,,,,,,RNA SEQ,,,,,,,,EXP33242
109412,,,,,,,RNA SEQ,,,,,,,,EXP33242
109413,,,,,,,RNA SEQ,,,,,,,,EXP33242
109414,,,,,,,RNA SEQ,,,,,,,,EXP33242
109415,,,,,,,RNA SEQ,,,,,,,,EXP33242
109416,,,,,,,RNA SEQ,,,,,,,,EXP33242
109417,,,,,,,RNA SEQ,,,,,,,,EXP33242
109418,,,,,,,RNA SEQ,,,,,,,,EXP33242
109419,,,,,,,RNA SEQ,,,,,,,,EXP33242
109420,,,,,,,RNA SEQ,,,,,,,,EXP33242
109421,,,,,,,RNA SEQ,,,,,,,,EXP33242
109422,,,,,,,RNA SEQ,,,,,,,,EXP33242
109423,,,,,,,RNA SEQ,,,,,,,,EXP33242
109424,,,,,,,RNA SEQ,,,,,,,,EXP33242
109425,,,,,,,RNA SEQ,,,,,,,,EXP33242
109426,,,,,,,RNA SEQ,,,,,,,,EXP33242
109427,,,,,,,RNA SEQ,,,,,,,,EXP33242
109428,,,,,,,RNA SEQ,,,,,,,,EXP33242
109429,,,,,,,RNA SEQ,,,,,,,,EXP33242
109430,,,,,,,RNA SEQ,,,,,,,,EXP33242
109431,,,,,,,RNA SEQ,,,,,,,,EXP33242
109432,,,,,,,RNA SEQ,,,,,,,,EXP33242
109433,,,,,,,RNA SEQ,,,,,,,,EXP33242
109434,,,,,,,RNA SEQ,,,,,,,,EXP33241
109435,,,,,,,RNA SEQ,,,,,,,,EXP20686
109436,,,,,,,RNA SEQ,,,,,,,,EXP33242
109437,,,,,,,RNA SEQ,,,,,,,,EXP33242
109438,,,,,,,RNA SEQ,,,,,,,,EXP33243
109439,,,,,,,RNA SEQ,,,,,,,,EXP33243
109440,,,,,,,RNA SEQ,,,,,,,,EXP33243
109441,,,,,,,RNA SEQ,,,,,,,,EXP20686
109442,,,,,,,RNA SEQ,,,,,,,,EXP33242
109443,,,,,,,RNA SEQ,,,,,,,,EXP33242
109444,,,,,,,RNA SEQ,,,,,,,,EXP33243
109445,,,,,,,RNA SEQ,,,,,,,,EXP33243
109446,,,,,,,RNA SEQ,,,,,,,,EXP33243
109447,,,,,,,RNA SEQ,,,,,,,,EXP20686
109448,,,,,,,RNA SEQ,,,,,,,,EXP33242
109449,,,,,,,RNA SEQ,,,,,,,,EXP33242
109450,,,,,,,RNA SEQ,,,,,,,,EXP33243
109451,,,,,,,RNA SEQ,,,,,,,,EXP33243
109452,,,,,,,RNA SEQ,,,,,,,,EXP33243
109453,,,,,,,RNA SEQ,,,,,,,,EXP20686
109454,,,,,,,RNA SEQ,,,,,,,,EXP33242
109455,,,,,,,RNA SEQ,,,,,,,,EXP33242
109456,,,,,,,RNA SEQ,,,,,,,,EXP33243
109457,,,,,,,RNA SEQ,,,,,,,,EXP33243
109458,,,,,,,RNA SEQ,,,,,,,,EXP33243
109459,,,,,,,RNA SEQ,,,,,,,,EXP20686
109460,,,,,,,RNA SEQ,,,,,,,,EXP33242
109461,,,,,,,RNA SEQ,,,,,,,,EXP33242
109462,,,,,,,RNA SEQ,,,,,,,,EXP33243
109463,,,,,,,RNA SEQ,,,,,,,,EXP33243
109464,,,,,,,RNA SEQ,,,,,,,,EXP33243
109465,,,,,,,RNA SEQ,,,,,,,,EXP20686
109466,,,,,,,RNA SEQ,,,,,,,,EXP33242
109467,,,,,,,RNA SEQ,,,,,,,,EXP33242
109468,,,,,,,RNA SEQ,,,,,,,,EXP33243
109469,,,,,,,RNA SEQ,,,,,,,,EXP33243
109470,,,,,,,RNA SEQ,,,,,,,,EXP33243
109471,,,,,,,RNA SEQ,,,,,,,,EXP20686
109472,,,,,,,RNA SEQ,,,,,,,,EXP33242
109473,,,,,,,RNA SEQ,,,,,,,,EXP33242
109474,,,,,,,RNA SEQ,,,,,,,,EXP33243
109475,,,,,,,RNA SEQ,,,,,,,,EXP33243
109476,,,,,,,RNA SEQ,,,,,,,,EXP33243
109477,,,,,,,RNA SEQ,,,,,,,,EXP20686
109478,,,,,,,RNA SEQ,,,,,,,,EXP33242
109479,,,,,,,RNA SEQ,,,,,,,,EXP33242
109480,,,,,,,RNA SEQ,,,,,,,,EXP33243
109481,,,,,,,RNA SEQ,,,,,,,,EXP33243
109482,,,,,,,RNA SEQ,,,,,,,,EXP33243
109483,,,,,,,RNA SEQ,,,,,,,,EXP20686
109484,,,,,,,RNA SEQ,,,,,,,,EXP33242
109485,,,,,,,RNA SEQ,,,,,,,,EXP33242
109486,,,,,,,RNA SEQ,,,,,,,,EXP33243
109487,,,,,,,RNA SEQ,,,,,,,,EXP33243
109488,,,,,,,RNA SEQ,,,,,,,,EXP33243
109489,,,,,,,RNA SEQ,,,,,,,,EXP20686
109490,,,,,,,RNA SEQ,,,,,,,,EXP33242
109491,,,,,,,RNA SEQ,,,,,,,,EXP33242
109492,,,,,,,RNA SEQ,,,,,,,,EXP33243
109493,,,,,,,RNA SEQ,,,,,,,,EXP33243
109494,,,,,,,RNA SEQ,,,,,,,,EXP33243
