,0
ABCA6,2.5224063994923993
ADAM20P1,5.202289940083192
ADAMTS13,2.6805610786551073
AJAP1,2.2579781930777667
AKR1C2,3.944840596718259
ANKRD20A8P,2.8573572164609318
ARGFX,7.549481173711547
ARL6,2.4048561910028665
ARMCX4,2.4076843310041043
ARNT2,2.8714101291172898
AURKB,2.2033050977146647
MAILR,14.600870748296641
BRSK2,13.059211061030549
C12orf71,2.0748868401019034
C17orf64,2.0314346302028956
C22orf15,5.509842609707732
C4orf51,34.78993754553902
C9orf129,18.679635140119004
CACNB1,2.769805365385408
CALML6,2.2246487236191554
CAPN9,2.640030564777004
CBWD6,5.845527597187032
CCDC73,2.1971879249186355
CCDC96,2.669871356840343
CCL8,10.612124034276496
CDRT15L2,3.0941071104422164
CDY1B,4.284578695260055
CFAP99,2.686251020360401
CGB5,2.072069531489422
CGB8,2.0519283022892725
CHRM1,2.186267220525412
CHTF18,2.3835456194466755
CIZ1,7.582206282252326
CLDN14,8.728924385476686
CLDN3,3.2505573510205856
CLRN2,2.0736502532038807
CNTNAP1,4.039359464105565
COL20A1,12.712212750104095
CRYBA4,2.10489236962523
CSRNP3,3.785046344607178
CST9,2.443892660111721
CTAG1B,3.8807278105808303
CTRB2,3.206406987625575
CXADRP3,2.70619981860431
CXCL3,4.2157342718619635
CYP7A1,2.1499536980366627
DCST1,2.589332965832477
DEFB1,2.1063689558536
DEFB104B,5.548683113586521
DEFB128,17.20981862071043
DIRAS1,2.498204081904689
DKKL1,17.873551731394794
ELFN2,2.8040485908249826
ENDOU,2.1194157594457286
EXTL1,8.276948167920501
F10,2.9137899368488553
FABP12,3.1267311164360203
FAM106C,3.0436377064412774
ALKAL1,6.9302427425569855
FAM169A,3.482437718314831
TAFA2,2.337570652539465
FAM227B,2.3573891520326606
FAM27C,3.860414444518533
FAM83C,2.9272133509329827
FBXO25,2.1422616432781663
FDX1,2.866845492473706
FGA,2.430965141201035
FJX1,2.8007428898165414
FRG2C,5.340079222867327
FSIP2,2.382115945059571
GABRA4,5.262006372365047
GAGE12F,3.5790160719415427
GET4,2.4906257512829355
GGT5,3.237911575100709
GJA9,3.7029688046585196
GOLGA8DP,3.5962665567788776
GRIN2B,2.3020201029077008
GRPR,3.2717260383195277
GTF2IP4,2.234389574164891
HHIPL2,2.8289613583980944
H2AC14,7.199080709511419
HMMR,3.10024868828256
HPD,16.739310676671618
HSD17B3,7.428377392576894
HSFY2,4.85129000821477
IL1RL1,8.388631289402433
IL2RA,26.01545797825923
IL34,2.7303396704970337
ITPKA,10.386370648739522
JRK,3.050187728335857
KIAA0319,6.552440145411141
KIF1A,2.107867881741473
KIR2DS3,2.0379429546887313
KLC4,2.543657543277255
KLF7,2.9070323275660925
KLK13,5.280372309128688
KLK8,2.0424198166864023
KRT27,18.869926877055455
KRTAP1-5,42.315016815991214
KRTAP21-3,2.5358635460086223
KSR1,2.1363924934384046
LAYN,2.263560846538555
CNMD,2.0415223967609455
LGALS7,6.8113105367873095
LINC00160,4.661832743969308
LINC00293,2.252074727326557
PRECSIT,2.2786812877011724
LINC00380,3.6264036697931066
LINC00570,3.3550123049008014
LINC00930,15.173132910030173
LINC01221,2.3198923287055067
LMF1,2.3605816927346837
LRRC36,8.647500822373503
LTC4S,3.8821738485647495
LUZP6,3.9443007050911816
LYPD6,7.782209128564434
MAB21L3,109.57663460145282
MAFG-DT,2.0585564694804646
MAGEA5P,5.249111675516646
MINCR,3.0724098130143873
MIR1200,12.414622823680071
MIR1203,11.628704333763919
MIR1271,11.921903341769221
MIR1301,3.1760901018894447
MIR1302-1,2.215522396026434
MIR1302-5,2.480942917667618
MIR1302-6,3.0865940943892514
MIR1302-8,18.415776309446887
MIR134,2.2085610587472235
MIR139,3.201389084459265
MIR140,2.6627358838450443
MIR153-2,3.0352854378533847
MIR15B,6.790668827601233
MIR1827,12.952154886495626
MIR194-2,2.146332645419403
MIR212,44.85942561593402
MIR23B,2.8593591564474763
MIR296,3.8106845900079587
MIR302D,3.4014426608380948
MIR506,2.902688708199045
MIR512-2,8.448056408203431
MIR520H,8.663418430965498
MIR521-2,11.02852811634455
MIR545,2.9976984305502863
MIR548K,4.458286455202675
MIR564,5.167057047022158
MIR569,2.282110948159974
MIR592,3.993860907503102
MIR598,2.157216427215657
MIR617,2.3017483827265983
MIR629,5.387144789797684
MIR630,8.608155715584253
MIR641,4.417656580346663
MIR643,4.262012462151722
MIR646,4.692757967922878
MIR653,6.378671020087075
MIR924,3.3881154655399244
MIR924HG,2.119541841227089
MIRLET7I,3.7849038133998474
MPV17L2,3.3385650589025078
MUC16,inf
MYH15,13.283063110594728
NCOA2,2.8154884476931943
NEUROD4,3.729138965993062
NID1,6.204778047093817
NME5,208.36148456213695
NMS,35.57917259732068
NOX4,3.8828821267625444
OLFM3,2.2387890803369155
OLFM4,3.3497499915005897
OLIG3,5.357190205763218
OPN1SW,2.2773501444875377
OR1B1,2.0044788678979932
OR1N1,2.7686565785429518
OR2A5,2.2131037745269198
OR2B3,3.521737001895897
OR2G2,2.4429325499629915
OR4A47,2.0723174459312674
OR4C6,2.1471404905691216
OR4N4,2.1241037270708567
OR52A1,3.5495982762245375
OR7A5,3.951989773403414
OR9G9,2.2160155356071947
P2RY2,2.3908594379996684
PA2G4P4,17.50075341999393
PARD6G,2.5579413971788445
PAX3,11.207760032778596
PCDH11X,3.4178008773459814
PCDHA8,2.517085754608154
PCDHGA2,4.996777793195859
PEX3,8.071277972332803
PLEKHD1,9.576006698490637
POTEJ,2.70021117329115
