,Gene_x
257116,ENSG00000261759.1
11685,ENSG00000261770.1
215014,ENSG00000261786.1
91264,ENSG00000261832.6
524482,ENSG00000261838.5
407719,ENSG00000261916.1
98186,ENSG00000262038.1
153184,ENSG00000262039.1
407854,ENSG00000262172.1
400770,ENSG00000262298.1
153221,ENSG00000262312.2
153223,ENSG00000262319.1
277008,ENSG00000262429.1
91357,ENSG00000262533.1
153266,ENSG00000262714.1
648377,ENSG00000262777.1
277053,ENSG00000262810.1
400839,ENSG00000262884.1
91410,ENSG00000262999.1
91419,ENSG00000263065.1
153320,ENSG00000263164.1
177969,ENSG00000263212.2
648439,ENSG00000263280.4
153347,ENSG00000263331.1
195823,ENSG00000263394.1
277132,ENSG00000263424.1
153375,ENSG00000263551.6
896035,ENSG00000263585.1
277173,ENSG00000263655.1
277174,ENSG00000263657.1
277185,ENSG00000263709.1
98398,ENSG00000263786.1
301881,ENSG00000263798.2
277196,ENSG00000263809.1
957969,ENSG00000263859.1
903048,ENSG00000263916.1
153432,ENSG00000263923.1
98317,ENSG00000264007.1
153442,ENSG00000264015.2
153448,ENSG00000264044.1
1019882,ENSG00000264066.7
277255,ENSG00000264272.1
153483,ENSG00000264304.1
153484,ENSG00000264324.1
91623,ENSG00000264548.1
339176,ENSG00000264558.1
29750,ENSG00000264660.2
153532,ENSG00000264695.1
284052,ENSG00000264754.1
462985,ENSG00000264769.1
958093,ENSG00000264808.2
153559,ENSG00000264924.1
71085,ENSG00000264937.1
277348,ENSG00000265055.2
91686,ENSG00000265073.1
840983,ENSG00000265222.1
91709,ENSG00000265246.1
91712,ENSG00000265282.1
381521,ENSG00000265287.2
153605,ENSG00000265334.1
958157,ENSG00000265380.1
91759,ENSG00000265656.1
91770,ENSG00000265717.1
277436,ENSG00000265737.1
153664,ENSG00000265750.1
277448,ENSG00000265784.1
463121,ENSG00000265844.1
153686,ENSG00000265912.1
215602,ENSG00000266101.1
98306,ENSG00000266126.1
277497,ENSG00000266153.1
834490,ENSG00000266171.1
91855,ENSG00000266313.2
834517,ENSG00000266369.1
91864,ENSG00000266401.4
91874,ENSG00000266498.1
277542,ENSG00000266527.1
30000,ENSG00000266601.1
896433,ENSG00000266602.2
525108,ENSG00000266642.2
153781,ENSG00000266644.1
98303,ENSG00000266664.1
91905,ENSG00000266718.2
153798,ENSG00000266744.1
98224,ENSG00000266801.1
98447,ENSG00000266805.1
91927,ENSG00000266897.1
153829,ENSG00000266936.1
98479,ENSG00000266965.1
772731,ENSG00000266985.1
91964,ENSG00000266987.1
772749,ENSG00000267026.5
91985,ENSG00000267033.1
648983,ENSG00000267049.1
153881,ENSG00000267052.3
896544,ENSG00000267062.1
92006,ENSG00000267072.3
896561,ENSG00000267095.1
153919,ENSG00000267122.1
30145,ENSG00000267124.2
277698,ENSG00000267125.2
649027,ENSG00000267127.7
896588,ENSG00000267140.1
215842,ENSG00000267199.1
896621,ENSG00000267215.2
339631,ENSG00000267219.1
407789,ENSG00000267222.1
92085,ENSG00000267231.1
834742,ENSG00000267232.1
215865,ENSG00000267239.1
117212,ENSG00000267246.1
92093,ENSG00000267250.1
215873,ENSG00000267257.1
92101,ENSG00000267262.2
160470,ENSG00000267274.1
154000,ENSG00000267284.2
35617,ENSG00000267285.1
463455,ENSG00000267316.5
154018,ENSG00000267320.5
30244,ENSG00000267327.2
834800,ENSG00000267349.1
277810,ENSG00000267356.1
463475,ENSG00000267359.1
339700,ENSG00000267360.6
154055,ENSG00000267396.2
92183,ENSG00000267424.1
277861,ENSG00000267457.1
649209,ENSG00000267506.7
160344,ENSG00000267529.3
92237,ENSG00000267559.5
216018,ENSG00000267565.1
160293,ENSG00000267568.6
98580,ENSG00000267576.1
92249,ENSG00000267582.1
92255,ENSG00000267601.1
216035,ENSG00000267606.1
587376,ENSG00000267633.1
154177,ENSG00000267670.1
284287,ENSG00000267672.1
216081,ENSG00000267707.2
1020641,ENSG00000267735.1
154217,ENSG00000267755.1
216106,ENSG00000267758.1
154222,ENSG00000267764.1
655510,ENSG00000267766.1
92345,ENSG00000267783.3
154234,ENSG00000267784.1
179236,ENSG00000267827.5
92357,ENSG00000267834.1
649359,ENSG00000267886.1
92376,ENSG00000267927.1
92377,ENSG00000267934.1
339931,ENSG00000267940.1
401856,ENSG00000268173.3
154308,ENSG00000268191.1
133717,ENSG00000268218.1
92428,ENSG00000268240.1
154323,ENSG00000268292.1
896988,ENSG00000268333.1
92467,ENSG00000268509.2
284319,ENSG00000268520.1
92476,ENSG00000268565.1
154385,ENSG00000268649.5
154389,ENSG00000268655.3
278166,ENSG00000268673.3
92505,ENSG00000268678.1
30618,ENSG00000268686.2
897070,ENSG00000268836.1
92531,ENSG00000268870.1
525756,ENSG00000268912.1
259069,ENSG00000268945.1
160509,ENSG00000268947.1
903181,ENSG00000268987.1
154449,ENSG00000269050.1
160459,ENSG00000269139.2
278268,ENSG00000269292.1
92609,ENSG00000269318.1
655599,ENSG00000269397.1
154522,ENSG00000269460.1
154528,ENSG00000269481.1
463972,ENSG00000269487.1
278312,ENSG00000269504.3
402111,ENSG00000269667.2
154560,ENSG00000269680.1
92703,ENSG00000269877.3
92709,ENSG00000269892.1
154602,ENSG00000269902.1
92715,ENSG00000269903.1
901107,ENSG00000269919.1
649712,ENSG00000269930.1
159359,ENSG00000269944.1
159949,ENSG00000269951.1
159094,ENSG00000269952.1
525952,ENSG00000269967.1
278402,ENSG00000269972.1
154631,ENSG00000269983.1
179451,ENSG00000270008.1
773523,ENSG00000270016.1
528511,ENSG00000270031.1
154651,ENSG00000270050.3
154664,ENSG00000270094.1
92777,ENSG00000270096.1
97939,ENSG00000270108.1
160686,ENSG00000270116.1
97672,ENSG00000270130.1
283564,ENSG00000270140.1
278462,ENSG00000270154.1
98218,ENSG00000270165.1
97465,ENSG00000270179.1
96241,ENSG00000270426.1
92881,ENSG00000270828.1
897434,ENSG00000270933.2
835556,ENSG00000270972.1
773671,ENSG00000270996.1
92920,ENSG00000271141.1
835579,ENSG00000271155.1
92940,ENSG00000271259.1
154829,ENSG00000271265.1
284000,ENSG00000271392.1
278628,ENSG00000271398.1
31081,ENSG00000271427.1
405085,ENSG00000271452.1
154861,ENSG00000271551.2
154863,ENSG00000271554.1
154877,ENSG00000271698.1
278657,ENSG00000271716.1
278661,ENSG00000271730.1
93001,ENSG00000271742.1
897551,ENSG00000271755.1
154901,ENSG00000271774.1
776787,ENSG00000271778.1
154915,ENSG00000271810.5
93034,ENSG00000271828.1
901681,ENSG00000271833.1
154924,ENSG00000271843.1
93043,ENSG00000271860.9
278710,ENSG00000271871.1
897591,ENSG00000271882.1
154939,ENSG00000271893.1
278730,ENSG00000271938.1
93076,ENSG00000271967.1
278743,ENSG00000271973.1
154969,ENSG00000271978.2
154974,ENSG00000271989.1
402529,ENSG00000271993.1
93095,ENSG00000272010.1
95431,ENSG00000272033.1
154998,ENSG00000272070.3
278776,ENSG00000272072.1
155002,ENSG00000272077.1
157170,ENSG00000272084.1
278786,ENSG00000272094.1
31240,ENSG00000272109.2
155019,ENSG00000272115.1
216908,ENSG00000272121.1
155023,ENSG00000272129.1
526352,ENSG00000272130.1
897684,ENSG00000272140.2
155034,ENSG00000272149.1
650139,ENSG00000272153.1
31261,ENSG00000272156.1
278818,ENSG00000272163.2
835814,ENSG00000272172.1
155050,ENSG00000272181.1
93177,ENSG00000272226.1
1021498,ENSG00000272234.1
216958,ENSG00000272243.6
155077,ENSG00000272263.1
93194,ENSG00000272275.1
31312,ENSG00000272305.5
407674,ENSG00000272330.1
31320,ENSG00000272334.1
93218,ENSG00000272366.1
835890,ENSG00000272411.1
250987,ENSG00000272416.1
157151,ENSG00000272420.1
155125,ENSG00000272425.1
402684,ENSG00000272438.1
93246,ENSG00000272444.1
155147,ENSG00000272482.2
406690,ENSG00000272489.1
155151,ENSG00000272498.1
959699,ENSG00000272509.1
155156,ENSG00000272510.1
371331,ENSG00000272512.1
155165,ENSG00000272541.1
93282,ENSG00000272555.1
281091,ENSG00000272574.1
310150,ENSG00000272583.2
93310,ENSG00000272632.1
278985,ENSG00000272668.2
93322,ENSG00000272672.1
835981,ENSG00000272678.1
180283,ENSG00000272679.1
98868,ENSG00000272689.1
93330,ENSG00000272692.2
155222,ENSG00000272696.1
93337,ENSG00000272703.1
402788,ENSG00000272732.1
217130,ENSG00000272744.1
217144,ENSG00000272783.1
31482,ENSG00000272787.1
279040,ENSG00000272800.3
93384,ENSG00000272823.1
93387,ENSG00000272829.2
155278,ENSG00000272836.1
402831,ENSG00000272839.1
36942,ENSG00000272872.1
836071,ENSG00000272896.1
406641,ENSG00000272914.1
93431,ENSG00000272921.1
279102,ENSG00000272944.1
93440,ENSG00000272950.1
717730,ENSG00000272954.1
93443,ENSG00000272967.1
93444,ENSG00000272969.1
279109,ENSG00000272970.5
155337,ENSG00000272979.1
341002,ENSG00000272982.1
93451,ENSG00000272983.1
93453,ENSG00000272986.1
279127,ENSG00000273007.2
898009,ENSG00000273011.1
402910,ENSG00000273026.1
838255,ENSG00000273035.1
155366,ENSG00000273056.1
898023,ENSG00000273059.1
898026,ENSG00000273063.1
12548,ENSG00000273102.2
217276,ENSG00000273107.1
93502,ENSG00000273110.1
31624,ENSG00000273132.1
93513,ENSG00000273133.1
898082,ENSG00000273179.1
217323,ENSG00000273203.1
93550,ENSG00000273210.1
93556,ENSG00000273219.1
98463,ENSG00000273232.1
279225,ENSG00000273243.1
93563,ENSG00000273248.2
31679,ENSG00000273258.1
31685,ENSG00000273269.3
531661,ENSG00000273284.1
33733,ENSG00000273302.1
93594,ENSG00000273341.2
160788,ENSG00000273353.1
155495,ENSG00000273374.1
93612,ENSG00000273387.1
93619,ENSG00000273402.1
279289,ENSG00000273419.1
155514,ENSG00000273424.1
118438,ENSG00000273432.1
93631,ENSG00000273447.1
836290,ENSG00000273450.1
279306,ENSG00000273476.1
128789,ENSG00000273489.1
93650,ENSG00000273507.7
97699,ENSG00000273568.1
403103,ENSG00000273582.1
836329,ENSG00000273687.1
650680,ENSG00000273796.2
160628,ENSG00000273893.1
93704,ENSG00000273925.1
155594,ENSG00000273958.1
93720,ENSG00000274029.1
160116,ENSG00000274093.1
217510,ENSG00000274184.1
279399,ENSG00000274191.1
93747,ENSG00000274251.1
31865,ENSG00000274281.1
898306,ENSG00000274333.4
93766,ENSG00000274363.1
98712,ENSG00000274364.1
403208,ENSG00000274370.1
155658,ENSG00000274373.1
836432,ENSG00000274400.1
93778,ENSG00000274414.1
258077,ENSG00000274565.1
93808,ENSG00000274653.1
283920,ENSG00000274677.1
31923,ENSG00000274678.1
155702,ENSG00000274698.1
93820,ENSG00000274751.1
155710,ENSG00000274758.1
428284,ENSG00000274769.1
155719,ENSG00000274818.1
36592,ENSG00000274849.1
898384,ENSG00000274874.2
283784,ENSG00000275092.1
98555,ENSG00000275162.1
155767,ENSG00000275185.1
93881,ENSG00000275197.1
93887,ENSG00000275223.1
155777,ENSG00000275228.1
32004,ENSG00000275236.1
217671,ENSG00000275248.1
960329,ENSG00000275263.1
407461,ENSG00000275343.1
217686,ENSG00000275367.1
155799,ENSG00000275371.1
160150,ENSG00000275393.1
155807,ENSG00000275409.1
155825,ENSG00000275481.1
530918,ENSG00000275485.1
465273,ENSG00000275527.1
155834,ENSG00000275532.2
32079,ENSG00000275672.1
155867,ENSG00000275720.1
902102,ENSG00000275769.1
155880,ENSG00000275778.3
217771,ENSG00000275799.1
94005,ENSG00000275888.1
98738,ENSG00000275894.1
155914,ENSG00000276071.1
94031,ENSG00000276093.1
32146,ENSG00000276110.1
155964,ENSG00000276417.1
94077,ENSG00000276418.5
654818,ENSG00000276434.1
94082,ENSG00000276449.1
406910,ENSG00000276505.1
155993,ENSG00000276571.1
94125,ENSG00000276724.1
156034,ENSG00000276863.1
774925,ENSG00000276968.1
346122,ENSG00000276980.1
156055,ENSG00000277022.1
94182,ENSG00000277151.1
94183,ENSG00000277152.1
255912,ENSG00000277186.1
98023,ENSG00000277229.1
156086,ENSG00000277235.1
159704,ENSG00000277246.1
156091,ENSG00000277270.2
159447,ENSG00000277342.1
160023,ENSG00000277440.1
72412,ENSG00000277463.1
898778,ENSG00000277501.1
218011,ENSG00000277504.1
283680,ENSG00000277548.1
218023,ENSG00000277587.1
159540,ENSG00000277595.1
94259,ENSG00000277684.1
408076,ENSG00000277744.1
94273,ENSG00000277767.1
407778,ENSG00000277911.1
654603,ENSG00000277945.1
156189,ENSG00000277978.1
403744,ENSG00000277999.1
98552,ENSG00000278000.1
408155,ENSG00000278012.1
836962,ENSG00000278013.1
836963,ENSG00000278017.2
283769,ENSG00000278022.1
156207,ENSG00000278084.1
94323,ENSG00000278097.1
156212,ENSG00000278107.1
778354,ENSG00000278126.1
194045,ENSG00000278291.1
97577,ENSG00000278351.1
156242,ENSG00000278383.1
159622,ENSG00000278462.1
94365,ENSG00000278467.1
651362,ENSG00000278514.1
403815,ENSG00000278546.1
97911,ENSG00000278576.1
94386,ENSG00000278627.1
156299,ENSG00000278740.1
280079,ENSG00000278769.1
94443,ENSG00000278961.3
136049,ENSG00000279110.1
98897,ENSG00000279175.1
156374,ENSG00000279298.1
35867,ENSG00000279463.1
899065,ENSG00000279658.1
156449,ENSG00000280018.4
159869,ENSG00000280036.1
12493,ENSG00000280145.3
280244,ENSG00000280169.1
837254,ENSG00000280341.1
280307,ENSG00000280778.1
156555,ENSG00000281091.3
98608,ENSG00000281468.1
94714,ENSG00000281593.1
404187,ENSG00000282022.1
94748,ENSG00000282024.1
94750,ENSG00000282034.2
306895,ENSG00000282304.1
94770,ENSG00000282317.1
280437,ENSG00000282381.2
156665,ENSG00000282418.1
94785,ENSG00000282527.2
156680,ENSG00000282602.1
837454,ENSG00000282740.1
466137,ENSG00000282828.2
156701,ENSG00000282849.1
528031,ENSG00000282863.1
158004,ENSG00000282904.2
183156,ENSG00000282907.1
97240,ENSG00000282915.1
94845,ENSG00000283031.2
156751,ENSG00000283095.1
159744,ENSG00000283098.2
156755,ENSG00000283125.1
466202,ENSG00000283164.1
160257,ENSG00000283209.1
280564,ENSG00000283303.1
156798,ENSG00000283375.1
94912,ENSG00000283383.1
183313,ENSG00000283403.1
651921,ENSG00000283458.3
156826,ENSG00000283515.1
837607,ENSG00000283573.1
160869,ENSG00000283638.3
94967,ENSG00000283648.1
33081,ENSG00000283662.1
72785,ENSG00000283667.1
280636,ENSG00000283689.1
678587,ENSG00000283757.1
251200,ENSG00000283782.2
530467,ENSG00000283913.1
33112,ENSG00000283977.1
280674,ENSG00000284070.1
95025,ENSG00000284391.1
156929,ENSG00000284512.1
218822,ENSG00000284600.1
280711,ENSG00000284607.1
899601,ENSG00000284632.1
95063,ENSG00000284642.1
33194,ENSG00000284677.1
95101,ENSG00000284716.1
157193,ENSG00000284748.1
95123,ENSG00000284776.1
157020,ENSG00000284825.1
33255,ENSG00000284914.1
280814,ENSG00000284946.1
256110,ENSG00000284966.3
218939,ENSG00000284999.1
528382,ENSG00000285012.1
528391,ENSG00000285079.1
218952,ENSG00000285080.1
158579,ENSG00000285081.1
157066,ENSG00000285085.1
218957,ENSG00000285095.2
157637,ENSG00000285155.1
33303,ENSG00000285163.1
218968,ENSG00000285165.1
33307,ENSG00000285177.1
157097,ENSG00000285253.1
95213,ENSG00000285280.2
157108,ENSG00000285329.1
95221,ENSG00000285330.1
652215,ENSG00000285354.1
95233,ENSG00000285413.1
95234,ENSG00000285424.1
404676,ENSG00000285444.1
654548,ENSG00000285517.1
900014,ENSG00000285521.1
157264,ENSG00000285530.1
184179,ENSG00000285542.1
901013,ENSG00000285571.1
157452,ENSG00000285591.1
655458,ENSG00000285595.1
159879,ENSG00000285597.1
157863,ENSG00000285600.2
60420,ENSG00000285602.1
158767,ENSG00000285624.2
97506,ENSG00000285627.1
183877,ENSG00000285629.1
899863,ENSG00000285649.1
160806,ENSG00000285679.2
159341,ENSG00000285696.1
283168,ENSG00000285704.1
307706,ENSG00000285708.1
159098,ENSG00000285712.1
219249,ENSG00000285719.2
840493,ENSG00000285727.1
283234,ENSG00000285732.1
839045,ENSG00000285736.1
184026,ENSG00000285743.1
158330,ENSG00000285763.1
97524,ENSG00000285770.1
184192,ENSG00000285772.1
157176,ENSG00000285802.1
282908,ENSG00000285810.1
431721,ENSG00000285816.1
160252,ENSG00000285829.1
157842,ENSG00000285836.1
839127,ENSG00000285849.1
184053,ENSG00000285854.1
157510,ENSG00000285857.1
307963,ENSG00000285868.1
159443,ENSG00000285870.1
158770,ENSG00000285881.1
34918,ENSG00000285904.1
282500,ENSG00000285957.1
60996,ENSG00000285968.1
184190,ENSG00000285991.1
431741,ENSG00000286001.1
33773,ENSG00000286011.2
431461,ENSG00000286015.1
284294,ENSG00000286037.1
776996,ENSG00000286039.3
158081,ENSG00000286055.1
36859,ENSG00000286063.1
36968,ENSG00000286070.2
903511,ENSG00000286072.1
158450,ENSG00000286084.3
653033,ENSG00000286086.1
157997,ENSG00000286089.1
184175,ENSG00000286098.1
470006,ENSG00000286108.1
281420,ENSG00000286115.1
98701,ENSG00000286117.2
159747,ENSG00000286123.1
284664,ENSG00000286130.1
96169,ENSG00000286136.2
900664,ENSG00000286161.1
160861,ENSG00000286163.1
122279,ENSG00000286185.1
36660,ENSG00000286186.1
406578,ENSG00000286196.1
95551,ENSG00000286216.1
98656,ENSG00000286236.1
34287,ENSG00000286241.1
160709,ENSG00000286262.1
60422,ENSG00000286268.1
96174,ENSG00000286269.1
158187,ENSG00000286271.3
157348,ENSG00000286285.1
97542,ENSG00000286303.1
157723,ENSG00000286307.1
284523,ENSG00000286326.1
160849,ENSG00000286327.1
777344,ENSG00000286339.1
157761,ENSG00000286352.1
157664,ENSG00000286358.1
33416,ENSG00000286379.1
157402,ENSG00000286389.2
284576,ENSG00000286393.1
95592,ENSG00000286415.1
219684,ENSG00000286419.1
281003,ENSG00000286429.1
157184,ENSG00000286433.1
345455,ENSG00000286437.1
466582,ENSG00000286448.1
159922,ENSG00000286457.1
158692,ENSG00000286458.1
160592,ENSG00000286472.1
838361,ENSG00000286481.2
96145,ENSG00000286490.1
655906,ENSG00000286508.1
654167,ENSG00000286514.1
903339,ENSG00000286517.1
159011,ENSG00000286536.1
157584,ENSG00000286545.1
33473,ENSG00000286548.1
159309,ENSG00000286555.1
839220,ENSG00000286562.1
95412,ENSG00000286581.1
160711,ENSG00000286594.1
220346,ENSG00000286616.1
652463,ENSG00000286619.1
902929,ENSG00000286629.1
158307,ENSG00000286644.1
158360,ENSG00000286652.1
97689,ENSG00000286662.2
160442,ENSG00000286667.1
96500,ENSG00000286672.1
97161,ENSG00000286687.1
159296,ENSG00000286688.1
281532,ENSG00000286689.1
97245,ENSG00000286715.1
219980,ENSG00000286720.1
96331,ENSG00000286721.1
158407,ENSG00000286723.1
157868,ENSG00000286729.1
902916,ENSG00000286732.1
96288,ENSG00000286741.1
159291,ENSG00000286756.3
96660,ENSG00000286764.1
157579,ENSG00000286769.1
157780,ENSG00000286781.1
282732,ENSG00000286782.1
284388,ENSG00000286803.1
281957,ENSG00000286809.1
96477,ENSG00000286819.2
900505,ENSG00000286827.1
220554,ENSG00000286830.1
282473,ENSG00000286831.1
652712,ENSG00000286833.3
34804,ENSG00000286847.1
95348,ENSG00000286863.2
838486,ENSG00000286864.1
96592,ENSG00000286887.1
345796,ENSG00000286894.1
159418,ENSG00000286911.1
160343,ENSG00000286926.1
158664,ENSG00000286938.1
901970,ENSG00000286943.1
282753,ENSG00000286944.1
283228,ENSG00000286950.1
157803,ENSG00000286952.1
281463,ENSG00000286965.1
160318,ENSG00000286975.1
33744,ENSG00000286979.1
900311,ENSG00000286980.1
159154,ENSG00000286981.1
160541,ENSG00000287001.3
158145,ENSG00000287031.1
158590,ENSG00000287032.1
160531,ENSG00000287035.1
95424,ENSG00000287040.1
281660,ENSG00000287045.2
840744,ENSG00000287061.1
654057,ENSG00000287063.1
98450,ENSG00000287065.1
157764,ENSG00000287069.1
96492,ENSG00000287089.1
901157,ENSG00000287092.1
97012,ENSG00000287095.1
283906,ENSG00000287106.1
98263,ENSG00000287125.1
281433,ENSG00000287129.1
900520,ENSG00000287143.1
160866,ENSG00000287160.1
652692,ENSG00000287165.1
901434,ENSG00000287166.1
221663,ENSG00000287167.1
406332,ENSG00000287185.1
282043,ENSG00000287203.1
157852,ENSG00000287207.1
839682,ENSG00000287222.1
159054,ENSG00000287235.1
405040,ENSG00000287255.3
284071,ENSG00000287257.1
654385,ENSG00000287264.1
160765,ENSG00000287269.1
900117,ENSG00000287291.1
281861,ENSG00000287292.1
96936,ENSG00000287301.3
282782,ENSG00000287302.1
530455,ENSG00000287306.1
157405,ENSG00000287315.1
343942,ENSG00000287323.1
95500,ENSG00000287338.1
902486,ENSG00000287346.1
158338,ENSG00000287347.1
36385,ENSG00000287351.1
282619,ENSG00000287352.1
530275,ENSG00000287355.1
157556,ENSG00000287362.1
98949,ENSG00000287370.1
899821,ENSG00000287384.1
837970,ENSG00000287400.1
159084,ENSG00000287402.1
406093,ENSG00000287407.1
36175,ENSG00000287408.1
529111,ENSG00000287415.1
159167,ENSG00000287419.1
219994,ENSG00000287424.1
653307,ENSG00000287434.1
902456,ENSG00000287437.1
96495,ENSG00000287458.1
95724,ENSG00000287463.1
158723,ENSG00000287464.1
158771,ENSG00000287467.1
654836,ENSG00000287481.1
158140,ENSG00000287486.1
407479,ENSG00000287494.1
159899,ENSG00000287500.1
903361,ENSG00000287507.1
98446,ENSG00000287509.1
900085,ENSG00000287513.1
468400,ENSG00000287514.2
653794,ENSG00000287547.1
407716,ENSG00000287553.1
158397,ENSG00000287562.1
159053,ENSG00000287566.1
837971,ENSG00000287587.1
158182,ENSG00000287597.1
220027,ENSG00000287600.1
160550,ENSG00000287608.1
159070,ENSG00000287613.1
158344,ENSG00000287614.1
962288,ENSG00000287623.1
95896,ENSG00000287629.1
467472,ENSG00000287632.1
470127,ENSG00000287637.1
97892,ENSG00000287643.1
157924,ENSG00000287645.1
157240,ENSG00000287647.1
97293,ENSG00000287655.1
220774,ENSG00000287657.1
158654,ENSG00000287672.1
405943,ENSG00000287678.1
33611,ENSG00000287684.1
528859,ENSG00000287687.2
158064,ENSG00000287692.1
97507,ENSG00000287698.1
838969,ENSG00000287709.3
35637,ENSG00000287713.1
157741,ENSG00000287720.1
122471,ENSG00000287725.2
282042,ENSG00000287726.1
157602,ENSG00000287742.1
655678,ENSG00000287754.1
98223,ENSG00000287760.1
160453,ENSG00000287766.1
841598,ENSG00000287767.1
97103,ENSG00000287769.1
281736,ENSG00000287786.1
160148,ENSG00000287787.1
33481,ENSG00000287797.1
219163,ENSG00000287807.1
653528,ENSG00000287811.3
468080,ENSG00000287815.2
406235,ENSG00000287827.1
160607,ENSG00000287853.1
283777,ENSG00000287855.1
157668,ENSG00000287858.1
95923,ENSG00000287873.1
160439,ENSG00000287879.1
467256,ENSG00000287882.1
96657,ENSG00000287883.1
98752,ENSG00000287886.1
96030,ENSG00000287899.1
160088,ENSG00000287909.1
345849,ENSG00000287910.1
159065,ENSG00000287925.1
468293,ENSG00000287927.1
281328,ENSG00000287931.1
95698,ENSG00000287937.1
220983,ENSG00000287945.1
160105,ENSG00000287965.1
158725,ENSG00000287970.1
654962,ENSG00000287973.1
901485,ENSG00000287975.1
653939,ENSG00000287998.1
404930,ENSG00000288007.1
653541,ENSG00000288009.1
159122,ENSG00000288011.1
35553,ENSG00000288018.3
159212,ENSG00000288033.1
157809,ENSG00000288039.1
652749,ENSG00000288048.1
158484,ENSG00000288054.1
96604,ENSG00000288056.1
98954,ENSG00000288059.1
652897,ENSG00000288063.1
282509,ENSG00000288076.1
158262,ENSG00000288095.2
654835,ENSG00000288100.1
219758,ENSG00000288111.2
220925,ENSG00000288234.1
431617,ENSG00000288542.1
60186,ENSG00000288548.1
184034,ENSG00000288559.1
369787,ENSG00000288577.1
184155,ENSG00000288597.1
184067,ENSG00000288598.2
60426,ENSG00000289084.1
140714,ENTHD1
755470,ENTPD2
68005,ENTREP1
146081,EP300-AS1
320526,EPB41L1
1006335,EPB42
84933,EPCAM-DT
141285,EPGN
144917,EPHA2-AS1
126257,EPHA3
143876,EPIC1
85151,EPN2-AS1
134061,EPOP
129726,EPPK1
144672,EPS15-AS1
199588,EPX
131782,ERBB3
884555,ERC2
154280,ERFL
641832,ERICH2-DT
202733,ERICH5
203721,ESPN
900457,ESRG
129586,ESRP1
137103,ESRP2
139259,ESYT3
747264,ETV1
267756,ETV7-AS1
261304,EVA1A
201875,EVPL
267207,EVPLL
445128,EXOC3L2
885527,EXOC3L4
263024,EXTL1
148513,EXTL3-AS1
879760,FA2H
138286,FAIM2
283959,FAM106C
125082,FAM110C
70379,FAM124A
636090,FAM133A
879995,FAM149A
143472,FAM166B
326105,FAM170B
263179,FAM171A2
140639,FAM182B
265463,FAM186A
138280,FAM186B
897794,FAM193B-DT
871019,FAM220A
145694,FAM224B
82376,FAM225B
141570,FAM227A
79868,FAM228A
80584,FAM3D
22656,FAM53B-AS1
812306,FAM66C
645783,FAM66D
144272,FAM66E
142084,FAM78B
266307,FAM78B-AS1
448513,FAM81B
138870,FAM83A
946409,FAM9C
896500,FARSA-AS1
138797,FAXC
506915,FBXO17
135588,FBXO27
634702,FBXO40
80919,FBXO47
495350,FCN3
632122,FERMT1
385468,FFAR1
79790,FFAR3
378821,FFAR4
941617,FGD1
188476,FGF12
500583,FGF13
137082,FGF14
637319,FGF16
436418,FGF2
631844,FGF20
384267,FGF4
256678,FGF7
879933,FGF8
750290,FGFR2
270257,FHAD1-AS1
385934,FHDC1
510956,FHIP1A
377722,FIBCD1
771804,FIGNL2
90417,FIGNL2-DT
393460,FILNC1
76627,FITM1
134106,FKBP10
268791,FKTN-AS1
147780,FLG-AS1
148365,FLNB-AS1
251445,FLT4
278394,FMC1-LUC7L2
631595,FMO1
14099,FNDC11
136696,FNDC8
82785,FOCAD-AS1
625590,FOLH1
440157,FOLR1
140373,FOXB1
65795,FOXC1
149669,FOXD1
83846,FOXD3-AS1
137986,FOXP2
189845,FOXP4-AS1
507158,FPR3
634817,FREM1
141339,FREM3
146855,FREY1
890073,FRGCA
880062,FRK
136672,FRMPD1
200734,FRMPD3
152446,FRRS1L
18011,FSCN2
138223,FST
446026,FSTL4
264569,FUT2
634284,FUT6
140431,FUT9
444938,FXYD3
88570,FXYD6-AS1
272300,FZD4-DT
143503,GAB4
433253,GABRD
632576,GABRG2
139104,GAL3ST2
192256,GALNT18
385896,GALNT5
883037,GAP43
646091,GAPDH-DT
78563,GARIN2
810701,GAS1
154660,GAS5-AS1
386266,GASK1A
141522,GAST
621484,GATA2-AS1
265157,GBP6
81443,GBP7
261029,GCK
13856,GDA
277541,GDF10
261881,GFPT2
74154,GGT5
818494,GHSR
124314,GIPC2
261499,GJA3
619196,GJA4
137722,GJB6
63111,GJC2
635847,GJC3
210144,GK-AS1
98925,GK-IT1
263598,GLB1L3
146378,GLCCI1-DT
71024,GLDN
128468,GLI3
264341,GLIS1
91374,GLIS2-AS1
449755,GLOD5
818190,GLP1R
632440,GLRB
388810,GLTPD2
141316,GLUD2
260919,GML
92233,GNA15-DT
400537,GNAO1-AS1
261990,GNAT2
140016,GNG4
139942,GNG8
71197,GOLGA6L10
279950,GOLGA6L22
330427,GOLGA7B-DT
648235,GOLGA8H
79172,GOLGA8J
87262,GOLGA8K
79017,GOLGA8Q
895766,GOLGA8S
140590,GOLT1A
764781,GORAB-AS1
129231,GPC4
141013,GPC5
882611,GPD1
15173,GPHA2
633278,GPR12
140896,GPR150
635766,GPR152
79594,GPR173
132817,GPR176-DT
509009,GPR31
140240,GPR37
512780,GPR39
139167,GPR61
386689,GPR78
75897,GPR83
151503,GPR84-AS1_ENSG00000258086
139264,GPRASP2
