,Gene_x
448053,CFAP74
80140,CFAP77
141450,CFAP91
188841,CFI
13781,CHD5
880874,CHIA
768893,CHILL1
645858,CHKA-DT
14436,CHL1
620156,CHRM3
141573,CHRM5
447134,CHRNA2
882794,CHRNA5
881212,CHST4
17579,CHST6
447257,CHST8
880560,CHURC1-FNTB
200481,CIB3
705523,CIBAR1-DT
138450,CILP
138115,CKMT2
137173,CLC
636667,CLCNKB
22795,CLDN14-AS1
437983,CLDN3
764825,CLEC12A-AS1
69668,CLEC1A
456730,CLEC2L
621177,CLEC3B
630295,CLEC4M
151231,CLIP1-AS1
5172,CLTRN
17042,CLVS1
446312,CMA1
450862,CMKLR2
807539,CNGA1
623371,CNKSR3
444708,CNN1
261428,CNNM1
273350,CNOT10-AS1
148229,CNTF
868572,CNTN4
142667,COL11A2
253767,COL15A1
247839,COL16A1
871272,COL1A2
807715,COL25A1
130051,COL27A1
267229,COL28A1
249481,COL5A2
635559,COL6A5
75603,COL7A1
64380,COL8A1
867750,COLEC11
815283,COLEC12
276773,COQ7-DT
75227,CORO7-PAM16
148120,CORT
11034,COX4I2
262974,COX6A2
76094,CPA4
621558,CPB1
143405,CPEB1
148571,CPEB2-DT
156925,CPHXL2
126636,CPLX1
89510,CPNE8-AS1
451803,CR1L
13548,CRACD
275441,CRAT37
695217,CRB1
68572,CREB3L1
755494,CREB3L3
140691,CREG2
632338,CRHR2
624645,CRISPLD1
197295,CRLF1
204801,CRLF2_ENSG00000205755
635674,CRMA
188568,CRMP1
206332,CROCC2
384737,CRX
204098,CRYBA4
199497,CRYGD
140413,CSDC2
139657,CSF2
79455,CSMD1
883305,CST6
641797,CT66
271221,CTAGE9
636040,CTDP1-DT
129626,CTHRC1
77561,CTRC
457983,CTTN-DT
376299,CTTNBP2
146610,CTXN2
508713,CUX2
819203,CUZD1
635205,CXCL11
626207,CXCL12
126845,CXCL13
76879,CXCL14
449025,CXCL5
76572,CXCL9
142659,CXorf65
322178,CYP24A1
274766,CYP2A6
74804,CYP2W1
507869,CYP46A1
124221,CYP4B1
135349,CYP4F12
79879,CYP4F3
624614,CYP7B1
375503,DAAM2
202892,DAND5
518334,DANT2
97101,DAPK1-IT1
144280,DBH-AS1
137343,DBX1
141868,DCC
16429,DCLK2
22330,DCST1-AS1
136755,DCT
250695,DDIT4L
326846,DDN
199230,DDX25
